TP,135.000000,144.000000,135.000000,140.000000,136.000000,149.000000,153.000000,127.000000,121.000000,134.000000,163.000000,142.000000,145.000000,147.000000,133.000000,146.000000,142.000000,129.000000,134.000000,142.000000,145.000000,144.000000,125.000000,150.000000,138.000000,149.000000,131.000000,135.000000,147.000000,137.000000,
TN,121.000000,112.000000,122.000000,110.000000,121.000000,102.000000,105.000000,124.000000,131.000000,111.000000,108.000000,110.000000,107.000000,116.000000,115.000000,112.000000,116.000000,119.000000,132.000000,98.000000,114.000000,114.000000,121.000000,119.000000,116.000000,129.000000,111.000000,113.000000,106.000000,110.000000,
FP,65.000000,61.000000,55.000000,72.000000,52.000000,63.000000,63.000000,56.000000,65.000000,67.000000,54.000000,62.000000,56.000000,58.000000,65.000000,59.000000,69.000000,64.000000,51.000000,76.000000,53.000000,61.000000,59.000000,58.000000,73.000000,54.000000,63.000000,66.000000,53.000000,62.000000,
FN,75.000000,79.000000,84.000000,74.000000,87.000000,82.000000,75.000000,89.000000,79.000000,84.000000,71.000000,82.000000,88.000000,75.000000,83.000000,79.000000,69.000000,84.000000,79.000000,80.000000,84.000000,77.000000,91.000000,69.000000,69.000000,64.000000,91.000000,82.000000,90.000000,87.000000,
SP,0.650538,0.647399,0.689266,0.604396,0.699422,0.618182,0.625000,0.688889,0.668367,0.623596,0.666667,0.639535,0.656442,0.666667,0.638889,0.654971,0.627027,0.650273,0.721311,0.563218,0.682635,0.651429,0.672222,0.672316,0.613757,0.704918,0.637931,0.631285,0.666667,0.639535,
SN,0.642857,0.645740,0.616438,0.654206,0.609865,0.645022,0.671053,0.587963,0.605000,0.614679,0.696581,0.633929,0.622318,0.662162,0.615741,0.648889,0.672986,0.605634,0.629108,0.639640,0.633188,0.651584,0.578704,0.684932,0.666667,0.699531,0.590090,0.622120,0.620253,0.611607,
PRECISION,0.675000,0.702439,0.710526,0.660377,0.723404,0.702830,0.708333,0.693989,0.650538,0.666667,0.751152,0.696078,0.721393,0.717073,0.671717,0.712195,0.672986,0.668394,0.724324,0.651376,0.732323,0.702439,0.679348,0.721154,0.654028,0.733990,0.675258,0.671642,0.735000,0.688442,
RECALL,0.642857,0.645740,0.616438,0.654206,0.609865,0.645022,0.671053,0.587963,0.605000,0.614679,0.696581,0.633929,0.622318,0.662162,0.615741,0.648889,0.672986,0.605634,0.629108,0.639640,0.633188,0.651584,0.578704,0.684932,0.666667,0.699531,0.590090,0.622120,0.620253,0.611607,
F,0.658537,0.672897,0.660147,0.657277,0.661800,0.672686,0.689189,0.636591,0.626943,0.639618,0.722838,0.663551,0.668203,0.688525,0.642512,0.679070,0.672986,0.635468,0.673367,0.645455,0.679157,0.676056,0.625000,0.702576,0.660287,0.716346,0.629808,0.645933,0.672769,0.647754,
ACCURACY,0.646465,0.646465,0.648990,0.631313,0.648990,0.633838,0.651515,0.633838,0.636364,0.618687,0.684343,0.636364,0.636364,0.664141,0.626263,0.651515,0.651515,0.626263,0.671717,0.606061,0.654040,0.651515,0.621212,0.679293,0.641414,0.702020,0.611111,0.626263,0.638889,0.623737,
