1;0.558081;0.555556;0.540404;0.558081;0.580808;0.540404;0.573232;0.573232;0.560606;0.601010;0.477273;0.547980;0.585859;0.550505;0.555556;0.547980;0.565657;0.527778;0.547980;0.547980;0.522727;0.573232;0.563131;0.578283;0.527778;0.540404;0.540404;0.565657;0.588384;0.570707
6;0.545455;0.545455;0.555556;0.603535;0.547980;0.535354;0.593434;0.565657;0.517677;0.542929;0.565657;0.547980;0.573232;0.540404;0.568182;0.555556;0.550505;0.545455;0.568182;0.583333;0.532828;0.547980;0.560606;0.540404;0.527778;0.563131;0.558081;0.578283;0.532828;0.573232
11;0.573232;0.580808;0.530303;0.547980;0.525253;0.575758;0.565657;0.537879;0.532828;0.527778;0.595960;0.573232;0.558081;0.560606;0.590909;0.542929;0.527778;0.553030;0.540404;0.542929;0.547980;0.550505;0.563131;0.588384;0.563131;0.540404;0.547980;0.560606;0.568182;0.553030
16;0.565657;0.570707;0.568182;0.540404;0.603535;0.527778;0.550505;0.565657;0.575758;0.553030;0.555556;0.568182;0.550505;0.573232;0.547980;0.575758;0.560606;0.570707;0.573232;0.580808;0.560606;0.598485;0.502525;0.537879;0.575758;0.540404;0.565657;0.547980;0.545455;0.590909
21;0.578283;0.553030;0.628788;0.558081;0.550505;0.550505;0.550505;0.547980;0.550505;0.555556;0.560606;0.601010;0.575758;0.537879;0.547980;0.515152;0.563131;0.575758;0.510101;0.590909;0.563131;0.560606;0.522727;0.560606;0.575758;0.568182;0.555556;0.560606;0.547980;0.595960
26;0.618687;0.623737;0.621212;0.603535;0.575758;0.636364;0.638889;0.626263;0.641414;0.641414;0.598485;0.575758;0.646465;0.603535;0.613636;0.616162;0.616162;0.588384;0.606061;0.631313;0.613636;0.553030;0.633838;0.611111;0.608586;0.583333;0.598485;0.631313;0.636364;0.621212
31;0.606061;0.545455;0.563131;0.565657;0.560606;0.553030;0.547980;0.547980;0.606061;0.565657;0.578283;0.547980;0.545455;0.563131;0.568182;0.588384;0.575758;0.573232;0.560606;0.560606;0.553030;0.580808;0.568182;0.570707;0.590909;0.565657;0.575758;0.565657;0.580808;0.527778
36;0.570707;0.590909;0.535354;0.580808;0.540404;0.553030;0.580808;0.522727;0.570707;0.560606;0.558081;0.565657;0.565657;0.553030;0.580808;0.547980;0.542929;0.578283;0.537879;0.583333;0.570707;0.547980;0.560606;0.560606;0.525253;0.563131;0.595960;0.583333;0.560606;0.545455
41;0.537879;0.522727;0.537879;0.565657;0.570707;0.608586;0.545455;0.547980;0.542929;0.573232;0.553030;0.570707;0.540404;0.573232;0.527778;0.563131;0.555556;0.583333;0.547980;0.568182;0.578283;0.568182;0.535354;0.545455;0.565657;0.603535;0.573232;0.502525;0.555556;0.532828
46;0.583333;0.547980;0.547980;0.580808;0.527778;0.545455;0.553030;0.580808;0.575758;0.522727;0.550505;0.550505;0.522727;0.583333;0.570707;0.512626;0.553030;0.590909;0.558081;0.550505;0.565657;0.553030;0.545455;0.560606;0.598485;0.565657;0.578283;0.520202;0.573232;0.497475
51;0.532828;0.555556;0.580808;0.540404;0.568182;0.555556;0.537879;0.547980;0.558081;0.573232;0.558081;0.558081;0.527778;0.535354;0.590909;0.565657;0.585859;0.527778;0.580808;0.517677;0.565657;0.573232;0.558081;0.537879;0.565657;0.590909;0.517677;0.565657;0.550505;0.542929
56;0.563131;0.573232;0.585859;0.573232;0.553030;0.484848;0.560606;0.535354;0.568182;0.553030;0.595960;0.520202;0.530303;0.497475;0.558081;0.580808;0.578283;0.588384;0.570707;0.553030;0.565657;0.555556;0.497475;0.590909;0.532828;0.525253;0.553030;0.585859;0.558081;0.578283
61;0.555556;0.593434;0.542929;0.558081;0.550505;0.532828;0.535354;0.565657;0.575758;0.535354;0.558081;0.563131;0.565657;0.565657;0.535354;0.593434;0.515152;0.558081;0.530303;0.560606;0.555556;0.537879;0.585859;0.563131;0.575758;0.545455;0.558081;0.484848;0.611111;0.558081
