1;0.563131;0.558081;0.553030;0.545455;0.542929;0.570707;0.570707;0.611111;0.522727;0.590909;0.527778;0.510101;0.555556;0.520202;0.553030;0.575758;0.555556;0.573232;0.573232;0.537879;0.578283;0.553030;0.547980;0.542929;0.550505;0.540404;0.517677;0.555556;0.573232;0.595960
6;0.527778;0.565657;0.598485;0.520202;0.542929;0.578283;0.570707;0.558081;0.578283;0.565657;0.520202;0.540404;0.535354;0.570707;0.545455;0.595960;0.530303;0.555556;0.575758;0.547980;0.570707;0.527778;0.568182;0.542929;0.568182;0.563131;0.542929;0.547980;0.560606;0.550505
11;0.560606;0.553030;0.583333;0.535354;0.547980;0.553030;0.595960;0.522727;0.593434;0.560606;0.535354;0.525253;0.510101;0.578283;0.568182;0.537879;0.542929;0.595960;0.558081;0.502525;0.545455;0.580808;0.590909;0.555556;0.565657;0.580808;0.545455;0.542929;0.550505;0.547980
16;0.530303;0.550505;0.565657;0.583333;0.565657;0.540404;0.545455;0.608586;0.550505;0.520202;0.545455;0.563131;0.522727;0.565657;0.568182;0.568182;0.570707;0.537879;0.573232;0.547980;0.547980;0.540404;0.580808;0.542929;0.555556;0.515152;0.550505;0.583333;0.520202;0.608586
21;0.532828;0.588384;0.646465;0.601010;0.588384;0.621212;0.611111;0.593434;0.588384;0.595960;0.578283;0.613636;0.603535;0.588384;0.611111;0.578283;0.570707;0.598485;0.608586;0.621212;0.590909;0.618687;0.585859;0.560606;0.636364;0.555556;0.603535;0.575758;0.611111;0.601010
26;0.621212;0.595960;0.618687;0.580808;0.595960;0.603535;0.585859;0.618687;0.595960;0.618687;0.606061;0.603535;0.595960;0.595960;0.573232;0.578283;0.618687;0.613636;0.590909;0.626263;0.611111;0.555556;0.588384;0.631313;0.613636;0.585859;0.601010;0.580808;0.641414;0.585859
31;0.628788;0.593434;0.621212;0.631313;0.641414;0.611111;0.608586;0.593434;0.631313;0.631313;0.643939;0.606061;0.628788;0.626263;0.646465;0.608586;0.613636;0.616162;0.606061;0.659091;0.616162;0.631313;0.618687;0.611111;0.638889;0.648990;0.621212;0.590909;0.608586;0.646465
36;0.633838;0.638889;0.626263;0.659091;0.641414;0.633838;0.643939;0.654040;0.643939;0.621212;0.666667;0.646465;0.648990;0.684343;0.633838;0.641414;0.616162;0.679293;0.656566;0.641414;0.618687;0.643939;0.638889;0.648990;0.623737;0.621212;0.648990;0.689394;0.659091;0.654040
41;0.628788;0.684343;0.641414;0.646465;0.631313;0.664141;0.648990;0.654040;0.656566;0.646465;0.651515;0.641414;0.621212;0.643939;0.679293;0.666667;0.636364;0.654040;0.669192;0.633838;0.638889;0.674242;0.656566;0.638889;0.626263;0.646465;0.659091;0.674242;0.651515;0.641414
46;0.661616;0.689394;0.686869;0.707071;0.674242;0.664141;0.656566;0.691919;0.699495;0.648990;0.689394;0.669192;0.666667;0.654040;0.659091;0.676768;0.679293;0.664141;0.689394;0.684343;0.679293;0.671717;0.674242;0.691919;0.699495;0.679293;0.651515;0.661616;0.671717;0.671717
